source,target,type
5b5dda5d-7782-4ab2-8f49-cdbd98ecfc52,60535489-7d75-4686-a578-a42ca0cd1e49,Undirected
60535489-7d75-4686-a578-a42ca0cd1e49,9b4f6852-c5d8-4274-9011-5dec7f1076bd,Undirected
286070ac-553b-4af9-91fe-5d88a4d20b75,60535489-7d75-4686-a578-a42ca0cd1e49,Undirected
01ea95f9-0747-466e-a0ee-637826e2e96d,60535489-7d75-4686-a578-a42ca0cd1e49,Undirected
37802ece-2b2a-4042-a0a6-1b882be6cf7a,60535489-7d75-4686-a578-a42ca0cd1e49,Undirected
60535489-7d75-4686-a578-a42ca0cd1e49,865a1edc-75b7-429a-aac2-30522fae80eb,Undirected
4177446c-1494-4e7e-b410-5572c5241bd9,60535489-7d75-4686-a578-a42ca0cd1e49,Undirected
25fc2052-d6ea-4cca-a018-5172d22edd03,a6ed5358-6ad7-422e-9be6-dbc49a02586c,Undirected
22ae2174-d74b-465d-a7b0-427a41ecedcc,25fc2052-d6ea-4cca-a018-5172d22edd03,Undirected
25fc2052-d6ea-4cca-a018-5172d22edd03,35143c2f-0484-44e2-bf27-7baa7ca5e135,Undirected
020a3ff4-7fcf-4bc8-b00d-338a290deb8d,25fc2052-d6ea-4cca-a018-5172d22edd03,Undirected
1b1dff88-dc02-4ddb-93f0-9974b8e377d7,25fc2052-d6ea-4cca-a018-5172d22edd03,Undirected
001cfaaf-373a-48f7-8e5b-298662d97d76,25fc2052-d6ea-4cca-a018-5172d22edd03,Undirected
17032413-f6ce-41d2-a05b-2ad888962424,25fc2052-d6ea-4cca-a018-5172d22edd03,Undirected
0c9d85d2-0666-4471-9842-d5a346523f73,25fc2052-d6ea-4cca-a018-5172d22edd03,Undirected
25fc2052-d6ea-4cca-a018-5172d22edd03,dd0e6c05-2af1-4d8a-9262-2d227e25497d,Undirected
128fcda8-d61d-4932-be2b-56c8e37b45d4,b68f5d07-5a02-4e43-b880-3a444a3b5561,Undirected
128fcda8-d61d-4932-be2b-56c8e37b45d4,f430ab5e-3581-4b9c-995c-21f5044647a9,Undirected
038c4d4a-f5c1-47db-90c7-35b13514773a,128fcda8-d61d-4932-be2b-56c8e37b45d4,Undirected
128fcda8-d61d-4932-be2b-56c8e37b45d4,a8eddc06-8d0b-4856-9ea8-4ce6cb21facb,Undirected
128fcda8-d61d-4932-be2b-56c8e37b45d4,392567e3-c5a4-4d94-8f6c-a6a2551ded3e,Undirected
128fcda8-d61d-4932-be2b-56c8e37b45d4,33a072ee-541f-479d-b240-233635c736a1,Undirected
128fcda8-d61d-4932-be2b-56c8e37b45d4,f18215bb-965a-4fae-a578-165ee0a948e7,Undirected
128fcda8-d61d-4932-be2b-56c8e37b45d4,b36599ea-2316-47f4-92b6-6053eccefd8d,Undirected
0e5cff19-87c0-478b-a7a4-db6550ec3799,128fcda8-d61d-4932-be2b-56c8e37b45d4,Undirected
128fcda8-d61d-4932-be2b-56c8e37b45d4,df876ae8-3e46-48dd-aa7d-ae7feeba126a,Undirected
24f0414a-fb48-41ba-a32d-f8a498c6bb59,44e38b7b-11b1-4ada-82e2-6583c947aa34,Undirected
